,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,11193.6,893.4,0.175059333,5.14862,0.74394,-0.09528,2.14152
1,2,11546.8,866.0,0.108118326,3.08258,0.32734,-1.71545,-0.18070
2,3,12146.1,823.3,0.024897461,0.67483,-0.09431,-0.79542,-0.18231
3,4,16031.4,623.8,0.168226368,3.45460,1.77114,-0.02242,-0.56315
4,5,22701.1,440.5,0.009638136,0.13977,0.30187,0.21825,-0.03183
5,6,23957.9,417.4,0.014511325,0.19940,0.13952,0.42037,-0.05679
6,7,24198.3,413.3,0.002369481,0.03224,-0.08267,-0.08894,0.13226
7,8,25331.0,394.8,0.025695540,0.33395,-0.38846,-0.37741,-0.20151
8,9,27872.4,358.8,0.026395569,0.31177,0.07537,0.31550,-0.45448
9,10,28692.3,348.5,0.007452156,0.08551,-0.13069,-0.24631,0.08806
10,11,29628.8,337.5,0.035025307,0.38917,-0.30917,-0.50957,-0.18419
11,12,34254.1,291.9,0.064223222,0.61724,-0.68774,-0.32465,0.19712
12,13,36780.7,271.9,0.009367107,0.08384,0.24582,0.09207,0.12221
13,14,37215.6,268.7,0.007649130,0.06766,0.15051,-0.03047,-0.20996
14,15,38139.9,262.2,0.009410488,0.08123,-0.06538,0.27660,0.02110
15,16,41007.3,243.9,0.005825247,0.04677,-0.03197,0.17510,0.12281
16,17,41431.9,241.4,0.010069757,0.08001,-0.01083,-0.03258,-0.28077
17,18,43839.9,228.1,0.019195325,0.14415,-0.25879,-0.09135,-0.26235
18,19,44703.8,223.7,0.007021642,0.05171,-0.17793,-0.01706,0.14057
19,20,48252.6,207.2,0.003757945,0.02564,-0.04576,-0.01830,0.15235
