,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,9317.5,1073.2,0.002330789,0.08235,0.10704,0.00581,0.26620
1,2,12689.7,788.0,0.000036235,0.00094,0.01232,-0.02654,-0.00916
2,3,12857.6,777.7,0.002570174,0.06581,0.15426,0.00511,-0.20490
3,4,17128.1,583.8,0.014400948,0.27679,-0.04243,0.51278,-0.10980
4,5,18867.4,530.0,0.002262165,0.03947,-0.06847,0.18576,-0.01661
5,6,22991.5,434.9,0.082636077,1.18325,-0.50005,0.11065,-0.95966
6,7,26689.2,374.7,0.005024800,0.06198,0.20498,-0.02573,0.13893
7,8,26948.5,371.1,0.026839610,0.32788,0.43366,-0.15744,0.33917
8,9,27502.6,363.6,0.002808367,0.03362,-0.03860,-0.17395,-0.04322
9,10,29096.9,343.7,0.000020352,0.00023,-0.01098,-0.00159,-0.01035
10,11,29918.1,334.2,0.000104436,0.00115,0.03220,0.00188,0.01044
11,12,30210.2,331.0,0.102302360,1.11483,-1.04262,0.05386,-0.15770
12,13,30732.9,325.4,0.004753083,0.05092,0.22208,-0.02904,0.02741
13,14,31179.4,320.7,0.009176682,0.09689,0.29075,-0.08625,0.07013
14,15,33536.1,298.2,0.005909042,0.05801,0.23591,0.00701,-0.04802
15,16,34102.6,293.2,0.001199952,0.01158,0.00119,-0.08882,0.06078
16,17,34337.0,291.2,0.000040364,0.00039,0.01867,0.00614,-0.00074
17,18,34709.1,288.1,0.000240071,0.00228,-0.01244,-0.03932,-0.02400
18,19,35623.4,280.7,0.000090868,0.00084,-0.01111,0.02370,0.01244
19,20,35962.8,278.1,0.000475250,0.00435,-0.04834,0.03865,0.02281
