,state,energy,lambda,frequency_oscillation,T2,TX,TY,TZ
0,1,6263.9,1596.4,0.000101367,0.00533,0.06745,0.00398,0.02761
1,2,12478.0,801.4,0.000933037,0.02462,0.14727,0.01562,0.05182
2,3,18130.8,551.5,0.001218012,0.02212,-0.05457,-0.13498,0.03031
3,4,20263.1,493.5,0.002793560,0.04539,-0.01623,-0.21203,-0.01291
4,5,24875.1,402.0,0.009323681,0.12339,0.34105,0.03679,0.07566
5,6,25254.5,396.0,0.007033964,0.09169,0.03643,-0.30043,-0.01032
6,7,26470.7,377.8,0.000687911,0.00856,-0.07982,-0.02871,0.03689
7,8,27598.0,362.3,0.001074033,0.01281,0.00461,0.10975,-0.02729
8,9,27874.0,358.8,0.003558382,0.04203,-0.19421,-0.06253,-0.02000
9,10,28075.4,356.2,0.000060136,0.00071,-0.01419,-0.01986,-0.01046
10,11,28492.2,351.0,0.000586136,0.00677,-0.05917,-0.04296,0.03776
11,12,29371.2,340.5,0.000150499,0.00169,-0.00623,0.03774,-0.01496
12,13,29883.7,334.6,0.008708175,0.09593,-0.29853,-0.03642,0.07408
13,14,31192.0,320.6,0.005192535,0.05480,-0.22945,-0.03825,0.02634
14,15,32878.4,304.2,0.006461678,0.06470,0.24968,-0.04473,-0.01903
15,16,33178.6,301.4,0.014760407,0.14646,-0.37590,-0.06800,0.02311
16,17,34487.5,290.0,0.000209669,0.00200,0.02822,0.03311,0.01043
17,18,34942.5,286.2,0.002553213,0.02406,-0.13649,0.04483,0.05844
18,19,36299.2,275.5,0.358248145,3.24910,-1.77419,-0.20633,0.24240
19,20,36427.7,274.5,0.024082873,0.21765,-0.42883,-0.18128,0.02976
